CC_number,Maximum_Limit,Expiry_Date,Credit_Score,Customer_id
2304795399281623,16083.47,2028-10-21,649,49
2311952007548281,3193.76,2027-10-21,655,354
2335023562644300,13144.07,2026-10-21,712,396
2398905818799709,17919.19,2027-10-21,707,138
2407469910281404,15002.56,2030-10-21,506,86
2439927873736320,12915.12,2028-10-21,417,299
2443195003516037,3995.69,2030-10-21,592,5
2487249500666315,16292.26,2027-10-21,318,93
2511071231310553,5484.87,2026-10-21,501,472
2571797538741621,13189.50,2028-10-21,623,82
2605593177047790,19100.68,2029-10-21,804,24
2676599843942688,5548.77,2029-10-21,490,63
2677458560932571,9327.22,2030-10-21,601,36
2704771406473141,11814.32,2026-10-21,740,245
2745530800324401,14268.94,2028-10-21,814,315
2756082443264435,2470.48,2030-10-21,340,279
2803324039625784,3817.13,2026-10-21,397,94
2815061572690353,17827.09,2029-10-21,574,174
2817231915736334,8569.80,2029-10-21,320,118
2871586898888917,4461.75,2027-10-21,715,494
2888380481498418,8873.94,2029-10-21,612,486
2907513294139871,1265.79,2027-10-21,476,75
2920546342313743,2425.98,2027-10-21,672,348
2952744507195476,14248.93,2029-10-21,308,391
2964932467866161,9432.07,2026-10-21,596,225
3027362595462203,16739.35,2030-10-21,346,265
3058745793842016,7111.71,2029-10-21,359,134
3068641693264372,11977.27,2029-10-21,403,330
3083601046822823,19655.26,2030-10-21,514,291
3091803904590528,7812.82,2026-10-21,526,32
3098910760337314,16067.31,2027-10-21,677,382
3148008019377796,8681.32,2027-10-21,536,121
3218420908764666,4879.91,2026-10-21,746,397
3235075252438672,9656.60,2030-10-21,568,175
3264737509070381,1169.35,2030-10-21,333,412
3283893108602070,5172.51,2028-10-21,505,164
3318071994648579,13118.31,2028-10-21,708,10
3385176200861560,13664.25,2029-10-21,317,416
3513959255762018,13887.60,2026-10-21,777,191
3522434582252401,6390.07,2029-10-21,783,413
3529987724853507,13125.71,2027-10-21,840,53
3560049180536683,6511.06,2027-10-21,672,179
3577183373182339,8084.12,2030-10-21,655,297
3582368711594905,16545.50,2026-10-21,848,402
3606600723212113,19484.29,2027-10-21,462,321
3715702815418324,11905.39,2030-10-21,635,57
3741751874176950,15424.25,2030-10-21,546,358
3749380217913000,14479.32,2028-10-21,413,365
3810590639637916,3260.44,2028-10-21,349,347
3827203674349065,12392.09,2030-10-21,551,62
3874114322413213,8160.80,2028-10-21,566,2
3894053652268616,6636.52,2027-10-21,343,6
3910160901533814,6031.64,2027-10-21,529,446
3947915484572144,1792.00,2028-10-21,328,398
4037785916746017,6327.54,2027-10-21,843,458
4070101459064431,4770.03,2029-10-21,426,378
4077191794316253,10457.41,2029-10-21,745,98
4096783174155821,2079.55,2027-10-21,731,196
4115305864108397,15126.15,2026-10-21,807,80
4121674101302657,3142.59,2029-10-21,823,13
4127730341444121,19677.74,2027-10-21,720,166
4185780726796937,17829.18,2027-10-21,806,478
4191632664044356,7187.93,2030-10-21,528,39
4327267246620717,11292.37,2026-10-21,345,471
4335468824463258,19328.84,2026-10-21,676,176
4398064569807224,14281.96,2026-10-21,561,300
4409571469970196,19415.64,2026-10-21,693,302
4463701215826236,15174.68,2030-10-21,386,204
4552972950788027,13574.94,2027-10-21,726,251
4556330640690204,18135.66,2028-10-21,652,452
4589924161690114,16722.97,2026-10-21,336,275
4606159969900142,3758.64,2026-10-21,304,119
4607202285762839,2606.57,2026-10-21,460,461
4610159963730485,16995.21,2027-10-21,385,463
4639141543450669,17936.33,2026-10-21,743,485
4673986337351801,4483.67,2029-10-21,472,160
4699124710573734,14867.03,2026-10-21,704,389
4700735808949300,12337.78,2030-10-21,827,92
4703100759801857,10670.43,2030-10-21,382,187
4762741254441977,3398.13,2029-10-21,487,101
4786657823177375,18859.16,2028-10-21,672,477
4806922185879162,15675.58,2027-10-21,823,193
4819562184639909,5049.41,2029-10-21,787,345
4865816372424480,15464.37,2027-10-21,733,294
4908909307070421,14403.08,2030-10-21,616,341
4951839996196952,15278.42,2029-10-21,709,203
4959937344273859,17270.00,2029-10-21,457,257
5018525490213007,9617.56,2028-10-21,551,379
5038824294854932,7402.24,2026-10-21,440,125
5042798660157264,6122.83,2028-10-21,659,69
5046959833017196,9287.57,2029-10-21,440,38
5074076495061608,16624.17,2028-10-21,527,223
5082442437086362,8668.50,2028-10-21,600,307
5091048299008970,11276.76,2027-10-21,601,270
5098621972893210,7065.78,2026-10-21,735,340
5111797720795832,8699.28,2028-10-21,461,189
5134534401332190,16075.24,2027-10-21,436,304
5151074566601516,17337.70,2026-10-21,773,52
5155498910263146,1210.51,2029-10-21,707,202
5178609722255766,8493.96,2029-10-21,340,163
5211016796846578,10892.16,2028-10-21,788,483
5235134449830893,15098.99,2026-10-21,624,427
5246677700865185,4737.95,2029-10-21,390,331
5253027223202885,10905.01,2028-10-21,347,496
5280994919561998,11358.78,2026-10-21,678,209
5294589609331141,11041.21,2029-10-21,835,114
5307978000719851,15661.30,2028-10-21,606,143
5318952708357747,15607.24,2028-10-21,499,56
5320740194962589,8782.30,2028-10-21,343,65
5386321372471541,4303.49,2026-10-21,665,322
5398358522914186,2722.27,2027-10-21,401,369
5417845814519732,14427.85,2027-10-21,312,318
5419204222337062,16759.71,2027-10-21,666,314
5500053209863005,13607.85,2028-10-21,594,50
5519255435805307,14260.25,2028-10-21,678,256
5532184678612889,8246.40,2027-10-21,313,417
5547014460174812,18459.75,2028-10-21,558,37
5552634707773685,15510.67,2030-10-21,662,26
5687908768865114,5984.87,2030-10-21,732,184
5691368501420212,19929.82,2028-10-21,759,212
5750240580571262,9678.18,2030-10-21,844,90
5771743385129234,11152.00,2027-10-21,499,46
5792192215435386,3544.05,2026-10-21,420,151
5912622365361497,2962.35,2030-10-21,506,380
6043865942596073,15742.80,2027-10-21,770,424
6076844885483122,8395.57,2028-10-21,839,264
6084562616219528,12937.37,2028-10-21,412,156
6147981155993891,8556.14,2029-10-21,816,254
6318454086759952,2093.15,2028-10-21,679,132
6375127576114716,15448.26,2026-10-21,728,498
6410438414402651,6095.89,2030-10-21,713,137
6424590513664486,15391.89,2026-10-21,715,422
6463508516276444,9752.24,2030-10-21,413,25
6493753007464568,6400.31,2028-10-21,377,28
6519014495166455,12247.58,2027-10-21,322,68
6522113175172670,15332.66,2027-10-21,531,336
6534285627559250,6510.30,2026-10-21,470,30
6610449733667005,11521.71,2028-10-21,788,377
6629108792174679,10362.50,2029-10-21,778,243
6669445142208868,8116.48,2029-10-21,470,454
6687840017188875,10564.22,2028-10-21,429,390
6727929732817446,8378.87,2028-10-21,788,167
6740758730908407,2354.56,2029-10-21,334,213
6761988848150086,11728.01,2027-10-21,606,171
6811768223883845,18526.52,2026-10-21,577,3
6834067062565484,13149.59,2026-10-21,538,429
6868251629473577,4149.18,2029-10-21,792,269
6915323908530377,16347.45,2028-10-21,762,218
6974156136337406,13943.97,2030-10-21,540,408
7037149418633810,12795.41,2026-10-21,759,153
7040087216489368,14143.05,2029-10-21,780,407
7048571444771723,14172.59,2029-10-21,816,405
7063182166376918,12009.65,2028-10-21,549,409
7075565933259203,12226.09,2028-10-21,743,349
7091840261151354,17856.33,2029-10-21,568,479
7132966894101596,8787.33,2028-10-21,555,64
7194426765733161,16992.26,2027-10-21,620,44
7238833272768772,1309.10,2027-10-21,709,199
7243201488534105,7314.28,2029-10-21,840,130
7268964956857586,18609.75,2030-10-21,739,439
7301008317072070,12614.71,2030-10-21,734,109
7317440566679764,10695.33,2028-10-21,797,474
7382703647723422,1244.12,2026-10-21,602,375
7479744134028438,15339.28,2029-10-21,844,127
7502144557481257,13041.12,2029-10-21,557,116
7534986958189261,7120.98,2028-10-21,408,493
7548085191207574,19435.33,2026-10-21,315,117
7566907939602764,1508.90,2029-10-21,483,190
7586328280614975,2680.19,2029-10-21,762,334
7608588276728229,12249.81,2027-10-21,307,149
7612919824835706,16861.08,2027-10-21,787,489
7635664785871297,8376.89,2030-10-21,454,329
7644820609995018,7522.23,2027-10-21,577,311
7649825636838069,19654.89,2029-10-21,679,323
7662690440028038,3227.36,2028-10-21,318,219
7692835775859347,3564.54,2027-10-21,318,158
7770311351030828,18083.74,2030-10-21,301,16
7796547375431287,10403.03,2030-10-21,771,237
7808746841632466,8099.06,2029-10-21,300,142
7810294529580768,17030.49,2030-10-21,470,54
7839142034588820,2354.53,2029-10-21,661,259
7875814480989977,16943.73,2028-10-21,335,70
7922351057533288,15479.69,2029-10-21,715,232
7935446812215533,12732.71,2026-10-21,469,157
8020811675550296,17729.46,2027-10-21,623,470
8036760737427146,4039.21,2030-10-21,624,4
8047858052751582,18200.49,2030-10-21,747,287
8049502858437342,9594.60,2028-10-21,680,363
8055104043345936,10932.03,2029-10-21,630,258
8058487980947869,6532.90,2027-10-21,513,139
8082224523660478,3284.61,2027-10-21,487,180
8100556023957094,12118.47,2026-10-21,449,361
8105387464473564,9399.35,2028-10-21,654,466
8176262942151213,16273.99,2029-10-21,685,239
8193218124990257,15368.41,2028-10-21,566,140
8213878650975772,13123.09,2026-10-21,588,395
8231363959439816,17460.99,2027-10-21,758,384
8255912305248906,13331.48,2029-10-21,300,198
8339354035902269,5328.91,2027-10-21,380,480
8397993288029968,8745.69,2028-10-21,449,414
8430143369748515,3040.22,2029-10-21,789,48
8432407085112484,4918.60,2026-10-21,480,136
8452005553535837,11880.18,2027-10-21,611,182
8475689977142591,19489.80,2027-10-21,458,21
8513744527499204,9808.26,2030-10-21,841,201
8516046525487139,5494.69,2027-10-21,757,33
8589065084999622,12973.13,2027-10-21,344,231
8616629764073565,16404.72,2027-10-21,440,419
8628085941074880,13125.26,2029-10-21,718,352
8656309155431288,6844.39,2028-10-21,729,103
8669362617945081,8364.72,2028-10-21,348,141
8687399347403973,6774.65,2028-10-21,524,438
8694998453333435,14259.58,2026-10-21,584,362
8732687585592071,7207.62,2030-10-21,850,9
8808484692601615,2083.25,2029-10-21,732,15
8897379311498280,12818.75,2028-10-21,542,100
8967099748382642,13344.87,2030-10-21,437,388
9008128920377599,5990.10,2029-10-21,719,359
9072188893591568,9904.23,2028-10-21,457,266
9085472654448961,9808.57,2026-10-21,309,85
9136867127036860,3350.77,2030-10-21,804,106
9188911121026188,12613.05,2028-10-21,761,73
9213554413322675,6363.48,2029-10-21,709,399
9223561296880078,18678.48,2027-10-21,605,197
9294489272856000,9249.05,2030-10-21,521,337
9315329938531142,15494.89,2027-10-21,447,367
9347996880288110,7837.73,2029-10-21,547,238
9404520017202467,12133.18,2027-10-21,705,152
9404870919835101,11924.48,2026-10-21,627,83
9406829541730650,12565.55,2028-10-21,370,263
9411201634044609,7642.63,2027-10-21,729,211
9411675464716397,18858.23,2030-10-21,352,112
9417839206148690,2699.84,2028-10-21,333,110
9453537730901247,1155.62,2029-10-21,501,444
9476039708050306,4219.85,2030-10-21,611,244
9508287680596128,10492.23,2029-10-21,805,488
9579524635722402,5418.42,2026-10-21,312,71
9587336411996498,9397.96,2028-10-21,600,102
9680049116583288,8528.09,2027-10-21,663,370
9687922449515534,3812.65,2026-10-21,472,87
9710565319723856,6295.32,2026-10-21,755,221
9730652456287073,3994.22,2029-10-21,483,401
9775649419369690,11682.33,2026-10-21,364,445
9776526211147301,4721.79,2029-10-21,772,387
9852064349921848,11656.20,2028-10-21,607,443
9885099270816705,5087.83,2026-10-21,300,394
9904957600869805,16785.08,2029-10-21,727,338
9923588160147332,17605.33,2029-10-21,323,350
9931774168796373,8703.73,2027-10-21,411,333
